simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
E67,heating,T8,284.85788234748014,303.5537495146966,-100.0,0.004396825605978074
E67,heating,T12_wall,196.51551929997362,-191.91076463028844,-50.0,0.0002681947386693759
E67,heating,T11_wall,233.6535606871679,-260.1897198542895,150.0,0.00013526739405304088
E67,heating,T3,132.73909066214244,-175.9727587124811,-1350.0,0.00047508707329529075
E67,heating,T2,3.7314922297103257,-5.268517968795663,-100.0,5.033322913023439e-5
E67,heating,T12_minus_T8,472.9840165877151,-495.46451414498506,0.0,0.0771372640118901
E67,heating,T11_minus_T8,509.0820596074523,-563.7434693689861,0.0,0.024819879624333897
E68,heating,T8,276.5992831066255,282.6341503197442,-100.0,0.0026246373242968806
E68,heating,T12_wall,191.3285595558607,-192.93105941231374,-100.0,0.00011554715736084463
E68,heating,T11_wall,216.95853387031178,-245.0771000985319,100.0,5.6031159568602214e-5
E68,heating,T3,132.32286437396215,-171.13072563087883,-1600.0,0.0003241947606525197
E68,heating,T2,5.3344935058141765,-8.504361378993337,-50.0,2.6278773708365525e-5
E68,heating,T12_minus_T8,459.982399646243,-475.56520973205795,0.0,0.05370524584270964
E68,heating,T11_minus_T8,484.11150699880096,-527.7112504182761,0.0,0.011676519954434632
E69,heating,T8,279.45098051063104,280.6450646030921,-200.0,0.0022990751976776935
E69,heating,T12_wall,165.71965711329074,-172.22563787305944,-300.0,6.570827113769535e-5
E69,heating,T11_wall,188.21243161391217,-214.87734791425225,-150.0,3.993426486812139e-5
E69,heating,T3,122.39901917665051,-161.34711317233496,-1900.0,0.0003475196637794688
E69,heating,T2,5.776436881231216,-5.052270138515553,-150.0,0.00012870119966021834
E69,heating,T12_minus_T8,437.7228054504724,-452.87070247615156,0.0,0.06740376882154442
E69,heating,T11_minus_T8,459.3997074070723,-495.5224125173444,0.0,0.009911013715866534
E70,heating,T8,213.74943943345744,216.90648993972832,-150.0,0.0012202410727283363
E70,heating,T12_wall,184.29865359668372,-190.21719682604532,-250.0,3.940740260221734e-5
E70,heating,T11_wall,182.07856699538462,-210.2420066189179,-50.0,2.2502720960532e-5
E70,heating,T3,129.9080079940473,-168.00913952060353,-1950.0,0.0002168234530263929
E70,heating,T2,9.132686765815318,-14.542135363036834,0.0,1.862631977581315e-5
E70,heating,T12_minus_T8,389.984058794862,-407.12368676577364,0.0,0.020359106183966084
E70,heating,T11_minus_T8,385.90658454990046,-427.14849655864623,0.0,0.0039726066448310384
E71,heating,T8,215.52668169682735,209.91911295354566,-200.0,0.0021524304311333737
E71,heating,T12_wall,134.30731306001556,-141.24601795329818,-450.0,0.00014336275200944255
E71,heating,T11_wall,123.17054517779287,-148.02794112279275,-250.0,3.889594354592244e-5
E71,heating,T3,109.07743551917146,-141.58049133932968,-2150.0,0.00026571003379661476
E71,heating,T2,8.559769723367827,-13.18863664298658,100.0,1.5969725900856337e-5
E71,heating,T12_minus_T8,333.43690694959975,-351.16513090684384,0.0,0.018609668264424832
